name,image_id,confidence,xmin,ymin,xmax,ymax
holothurian,000386.xml,0.010835058987140656,1032,686,1166,754
holothurian,000386.xml,0.0023722616024315357,176,1387,420,1586
echinus,000386.xml,0.022061750292778015,2638,2027,2825,2158
echinus,000386.xml,0.0051133157685399055,2597,2017,2834,2158
echinus,000386.xml,0.0023961090482771397,176,1384,422,1584
scallop,000386.xml,0.9964913129806519,2602,1284,2783,1436
scallop,000386.xml,0.9858635663986206,3040,1436,3261,1612
scallop,000386.xml,0.9749523997306824,2087,880,2227,991
scallop,000386.xml,0.9372265338897705,2138,1167,2299,1265
scallop,000386.xml,0.9186439514160156,2613,1686,2810,1884
scallop,000386.xml,0.7505970001220703,2302,1167,2445,1268
scallop,000386.xml,0.5477467775344849,3270,1061,3480,1183
scallop,000386.xml,0.2648625075817108,1424,1116,1542,1213
scallop,000386.xml,0.2581493556499481,2926,1716,3089,1900
scallop,000386.xml,0.18348361551761627,2136,1169,2301,1294
scallop,000386.xml,0.14230512082576752,1882,1679,2035,1828
scallop,000386.xml,0.10998732596635818,2941,1335,3136,1477
scallop,000386.xml,0.09121161699295044,3031,1447,3259,1615
scallop,000386.xml,0.07079659402370453,2982,1735,3094,1872
scallop,000386.xml,0.06688879430294037,609,1057,686,1117
scallop,000386.xml,0.0619707852602005,2618,1687,2822,1890
scallop,000386.xml,0.05142335221171379,1164,1187,1271,1297
scallop,000386.xml,0.0505475178360939,2300,1169,2441,1270
scallop,000386.xml,0.04162014275789261,2898,1699,3085,1897
scallop,000386.xml,0.03774254396557808,2085,879,2230,992
scallop,000386.xml,0.033754415810108185,3273,1074,3469,1186
scallop,000386.xml,0.02939446270465851,2138,1166,2298,1257
scallop,000386.xml,0.027775146067142487,2123,1173,2300,1337
scallop,000386.xml,0.025385070592164993,2936,1334,3162,1508
scallop,000386.xml,0.024634309113025665,1750,1509,1909,1648
scallop,000386.xml,0.02439725585281849,2602,1286,2784,1436
scallop,000386.xml,0.023984704166650772,1957,1437,2147,1593
scallop,000386.xml,0.023653827607631683,1378,849,1464,921
scallop,000386.xml,0.0198923759162426,3563,977,3738,1098
scallop,000386.xml,0.019753513857722282,1989,882,2234,1091
scallop,000386.xml,0.019624508917331696,2857,1195,3042,1333
scallop,000386.xml,0.019079003483057022,2326,652,2407,715
scallop,000386.xml,0.018230462446808815,3534,651,3621,730
scallop,000386.xml,0.01590339094400406,3269,1102,3379,1183
